Date,Rainfall,PET,Flow
31-01-1980,5.5294,47.667,1.0886
29-02-1980,1.0818,51.578,4.3178
31-03-1980,14.0735,79.597,4.893
30-04-1980,11.0606,127.583,5.4018
31-05-1980,24.7706,187.05,1.7603
30-06-1980,287.4447,95.773,1.0312
31-07-1980,409.35,73.424,71.0762
31-08-1980,254.5324,72.119,96.2278
30-09-1980,377.7047,70.76,62.9055
31-10-1980,34.4218,68.473,35.6196
30-11-1980,0.3406,50.582,9.6478
31-12-1980,3.8494,45.33,4.7373
31-01-1981,39.3935,42.705,5.0927
28-02-1981,2.7241,49.306,6.0111
31-03-1981,57.8065,66.901,7.8972
30-04-1981,15.3924,107.698,8.6717
31-05-1981,34.1453,144.851,6.0977
30-06-1981,121.9665,127.479,7.0198
31-07-1981,313.3629,75.184,11.1858
31-08-1981,395.1765,75.012,28.7544
30-09-1981,245.8135,72.056,36.2901
31-10-1981,12.6047,68.365,124.9629
30-11-1981,0.3288,51.441,10.7249
31-12-1981,2.3518,43.456,6.1274
31-01-1982,18.06,47.86,4.9087
28-02-1982,24.98,47.497,5.2014
31-03-1982,54.6841,65.852,5.1725
30-04-1982,16.8753,98.002,6.7404
31-05-1982,32.5482,131.315,6.5154
30-06-1982,134.8106,116.602,6.8075
31-07-1982,213.8488,95.171,7.1568
31-08-1982,567.9547,70.306,19.5935
30-09-1982,87.0206,75.137,371.2454
31-10-1982,42.6953,69.258,13.4486
30-11-1982,5.4765,52.409,6.5999
31-12-1982,0.0229,46.403,5.5452
31-01-1983,0.1959,45.232,2.0332
28-02-1983,37.4724,46.25,6.2012
31-03-1983,4.7912,74.297,6.7314
30-04-1983,40.49,100.639,8.683
31-05-1983,37.0453,133.77,6.6824
30-06-1983,117.2071,138.563,1.7197
31-07-1983,291.7465,80.81,50.7543
31-08-1983,353.7859,76.253,92.1968
30-09-1983,322.6212,71.925,58.9382
31-10-1983,55.6641,64.764,177.2642
30-11-1983,0.1765,46.343,12.0602
31-12-1983,7.7524,42.276,7.9247
31-01-1984,28.6994,45.189,5.9399
29-02-1984,10.7988,46.124,5.3491
31-03-1984,0.0653,73.851,5.2465
30-04-1984,28.1959,108.729,4.9499
31-05-1984,18.0465,177.903,5.2634
30-06-1984,320.7094,100.47,4.1491
31-07-1984,346.4235,76.399,89.9239
31-08-1984,406.4371,71.815,242.4961
30-09-1984,89.2435,70.066,64.7617
31-10-1984,45.9035,69.343,17.9199
30-11-1984,0.21,46.32,7.4249
31-12-1984,0.0259,44.632,5.1579
